,title,location,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,company_profile_length,requirements_length,benefits_length
7650,Customer Service Associate ,CA,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Electronics,Customer Service,0,1223.0,684.0,716.0,
7651,Sr. Java Architect,US,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,946.0,,563.0,46.0
7652,"Account Executive - Redlands, CA",US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2686.0,734.0,1433.0,786.0
7653,Backend Software Developer (contractor),GB,0,1,1,Contract,Associate,Bachelor's Degree,Marketing and Advertising,Engineering,0,1205.0,1520.0,2347.0,109.0
7654,Admin Clerk Remote Position,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7655,Labor & Employment Associate,US,0,0,1,,,,,,0,418.0,,,
7656,Remote Admin Clerk,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7657,Entry Level Online Data Entry/Typist ,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7658,Admin Clerical Data Processor,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7659,Entry Level Office Receptionist,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7660,Full/PartTime Data Entry Work ,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7661,Office Data Processing Assistant,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7662,Data Entry Office Support,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7663,Receptionist / Data Entry Office Support ,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7664,Graduates: English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,247.0,53.0,160.0,19.0
7665,Document Processing Assistant ,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7666,Data Entry Typist,US,1,0,0,,Entry level,Some High School Coursework,,Administrative,1,621.0,,164.0,
7667,Smart-Meter Expert,US,0,1,1,Full-time,,,,,0,758.0,134.0,294.0,203.0
7668,Client/Account Manager,US,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Sales,0,2220.0,,299.0,303.0
7669,.NET Software Engineer,GR,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,244.0,790.0,1500.0,
7670,Obsessively Thorough Product Manager (remote/telecommute),US,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Design,Design,0,775.0,336.0,853.0,184.0
7671,Vice President of Sales,US,0,1,0,Full-time,Executive,,Internet,Sales,0,1733.0,607.0,1571.0,252.0
7672,WSC Trainer,RO,0,1,1,,,,,,0,2063.0,322.0,908.0,326.0
7673,Working from Home,AU,0,1,1,,,,,,0,425.0,1155.0,374.0,455.0
7674,Contract Office Assistant Needed!,US,0,0,1,,,,,,0,552.0,,504.0,80.0
7675,Graduates: English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,245.0,53.0,160.0,19.0
7676,Lobby Ambassador ,US,0,1,0,Full-time,Entry level,High School or equivalent,Food Production,Customer Service,0,1561.0,684.0,704.0,
7677,Journalist,CA,0,1,1,Contract,Not Applicable,Unspecified,Internet,Writing/Editing,0,1106.0,293.0,663.0,79.0
7678,Junior Sales Munich - Online Advertising,DE,0,0,1,Full-time,Entry level,Bachelor's Degree,Online Media,Sales,0,318.0,,104.0,84.0
7679,English Teacher Abroad (Conversational),US,0,1,1,Contract,,Bachelor's Degree,Education Management,Education,0,314.0,53.0,137.0,19.0
7680,Customer Care Specialist,US,0,1,0,Full-time,,,,,0,2198.0,885.0,517.0,
7681,Wakefield/Ossett Apprenticeships Under NAS 16-18 Year Olds Only,GB,0,1,1,,Not Applicable,High School or equivalent,Human Resources,Human Resources,0,391.0,831.0,70.0,17.0
7682,Sr. Media Planner ,US,0,1,1,Full-time,Mid-Senior level,Associate Degree,Marketing and Advertising,Sales,0,1975.0,1632.0,601.0,21.0
7683,Inbound Online Marketer / Growth Hacker at Epignosis,,0,1,1,Full-time,Mid-Senior level,,Marketing and Advertising,Marketing,0,1701.0,861.0,505.0,
7684,Software Test Engineer I,US,0,1,0,Full-time,,,Computer Software,,0,1073.0,772.0,685.0,300.0
7685,Actionscript Developer,GR,0,1,1,,,,,,0,232.0,751.0,308.0,195.0
7686,Systems Engineers/Network Administrators/Tiers I-III,US,1,1,1,Full-time,Associate,Associate Degree,Information Technology and Services,Information Technology,0,2399.0,2094.0,1256.0,694.0
7687,Entry Level - Production,US,0,0,1,Full-time,Entry level,,Food Production,Production,0,2311.0,227.0,,
7688,Senior Web Developer-50% Remote!,US,1,1,1,Contract,Mid-Senior level,,,Information Technology,0,1457.0,875.0,852.0,110.0
7689,Real Estate Finance Attorney,US,0,1,0,,,,,,0,809.0,,,
7690,Sales & Leads Professional,GB,0,0,1,,,,,,0,509.0,,270.0,339.0
7691,PR & CORPORATE COMMUNICATIONS ACCOUNT DIRECTOR,GR,0,1,0,Full-time,Mid-Senior level,,Public Relations and Communications,,0,1268.0,461.0,984.0,
7692,English Teacher Overseas (Conversational),US,0,1,0,Contract,Entry level,Bachelor's Degree,Education Management,,0,184.0,53.0,133.0,19.0
7693,Benefit Analyst,US,0,1,0,Full-time,Associate,Bachelor's Degree,Insurance,General Business,0,1792.0,1054.0,748.0,359.0
7694,Collections Supervisor,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Management,0,2388.0,1025.0,316.0,536.0
7695,Attorney,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Legal,0,3321.0,1025.0,820.0,536.0
7696,SUPPLY CHAIN ANALYST ,US,0,0,0,Full-time,,,Consumer Electronics,,0,1739.0,,773.0,
7697,Part-time Local Coordinator for highschool Exchange Students,US,1,1,1,Part-time,Entry level,Associate Degree,Nonprofit Organization Management,,0,2844.0,729.0,351.0,119.0
7698,Part-time Local Coordinator for highschool Exchange Students,US,1,1,1,Part-time,Entry level,Associate Degree,Nonprofit Organization Management,,0,2676.0,729.0,351.0,123.0
7699,Mirfield Retail Apprenticeships 16-18 Year Olds Only Due to Government Funding,GB,0,1,1,Full-time,Entry level,High School or equivalent,,Customer Service,0,660.0,831.0,69.0,16.0
7700,Service Delivery Manager 1 ,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Consumer Services,Management,0,1965.0,684.0,1097.0,
7701,BizDev and sales,NZ,0,0,1,,,,,,0,65.0,,96.0,72.0
7702,Software Business Analyst,US,0,1,0,Full-time,Mid-Senior level,Unspecified,Computer Software,Information Technology,0,677.0,,473.0,505.0
7703,SUMMER INTERNSHIP PROGRAM,PK,0,1,0,Other,Internship,Bachelor's Degree,Civic & Social Organization,,0,736.0,,3023.0,239.0
7704,Automotive Sales Manager,US,0,0,1,,,,,,0,1132.0,708.0,436.0,
7705,Registered Nurse - Surgery,US,0,1,1,Full-time,Mid-Senior level,Certification,Hospital & Health Care,Health Care Provider,0,2250.0,1632.0,203.0,49.0
7706,CNC Programmer,US,0,0,0,Full-time,,,,,0,876.0,228.0,,
7707,Blipp Dev (3D),GB,0,1,0,Contract,,,,,0,110.0,1272.0,37.0,
7708,Executive Assistant,US,0,1,1,Full-time,,Bachelor's Degree,Hospital & Health Care,Administrative,0,1495.0,906.0,153.0,264.0
7709,Volkswagen Dealership Service Manager,US,0,1,0,Full-time,Mid-Senior level,High School or equivalent,Automotive,Management,0,244.0,392.0,59.0,46.0
7710,MASTER LEVELTHERAPIST,US,0,1,0,Contract,,Master's Degree,Mental Health Care,,0,1072.0,1482.0,1087.0,204.0
7711,Head of Demand Generation - High Growth Specialty Finance Company,US,0,1,0,Full-time,Executive,Bachelor's Degree,Financial Services,Business Development,0,2068.0,422.0,331.0,124.0
7712,Java/J2EE Analyst Programmer ,BE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1075.0,726.0,632.0,899.0
7713,IT and Operations Manager - Figo Pet Insurance,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Insurance,Information Technology,0,2668.0,1358.0,318.0,
7714,SAP BPC SENIOR CONSULTANT,US,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,808.0,1051.0,210.0,242.0
7715,Studio Booking Consultant,NZ,0,1,0,Full-time,Internship,,Photography,Sales,0,434.0,245.0,225.0,6.0
7716,Customer Service Representative ,US,0,0,1,,,,,,0,666.0,708.0,785.0,
7717,"Senior Bank Mortgage Loan Originators for the Brookfield,WI area",US,0,1,0,,,,,,0,3103.0,688.0,,
7718,"Sr Manager, Customer Acquisition Analytics",US,0,1,1,Full-time,Mid-Senior level,Master's Degree,Consumer Goods,Data Analyst,0,694.0,1562.0,654.0,
7719,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,458.0,53.0,118.0,19.0
7720,Game Director,HK,0,1,1,Full-time,,,Information Technology and Services,,0,698.0,326.0,665.0,303.0
7721,Art Director,HK,0,1,1,Full-time,,,Information Technology and Services,,0,821.0,326.0,684.0,294.0
7722,Backend Developer (Ninja),GR,0,1,1,,,,,,0,555.0,236.0,6.0,6.0
7723,Canvassers,US,0,1,0,Part-time,Not Applicable,Unspecified,Construction,Sales,0,1054.0,,133.0,450.0
7724,German Translator/Tester,CA,0,0,1,,,,,,0,608.0,,492.0,143.0
7725,Consumer Lending Processor,US,0,1,1,Full-time,Associate,High School or equivalent,Banking,,0,2050.0,665.0,583.0,446.0
7726,DevOps Engineer,NL,0,1,0,Full-time,Associate,,Computer Software,Information Technology,0,1430.0,511.0,1195.0,672.0
7727,Customer Service Associate,US,0,1,0,Full-time,Entry level,High School or equivalent,Facilities Services,Customer Service,0,1217.0,684.0,714.0,
7728,Production and Operations Manager,US,0,0,1,Full-time,Mid-Senior level,High School or equivalent,Mechanical or Industrial Engineering,Manufacturing,0,271.0,521.0,1169.0,48.0
7729,Product Analyst ,IE,0,1,1,Full-time,Not Applicable,Bachelor's Degree,Computer Software,Data Analyst,0,1460.0,1211.0,645.0,242.0
7730,Web Logic Administrator,US,0,0,1,Full-time,Mid-Senior level,Unspecified,Information Technology and Services,Information Technology,0,666.0,,682.0,19.0
7731,Senior Planning Manager ,SA,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Construction,Strategy/Planning,0,1877.0,,545.0,162.0
7732,QA Intern,US,0,1,0,Part-time,Entry level,,,,0,1400.0,493.0,,
7733,Senior .Net Developer,AE,0,1,1,,,,,,0,770.0,334.0,613.0,
7734,Community/Events Manager,GB,0,1,1,Full-time,,,,Marketing,0,3461.0,1151.0,,
7735,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,458.0,53.0,118.0,19.0
7736,"Sr Director, Customer Analytics & Business Intelligence",US,0,1,1,Full-time,Director,Bachelor's Degree,Consumer Goods,Data Analyst,0,5584.0,1562.0,2640.0,
7737,Northern Ireland Promo Staff Needed,GB,0,1,0,Temporary,,,Cosmetics,,0,854.0,831.0,,
7738,NE11 9SS Traffic Planner Apprenticeship available under NAS 16-18 year olds only!,GB,0,1,0,,Not Applicable,High School or equivalent,,,0,345.0,831.0,92.0,16.0
7739,Account Coordinator @ Tech PR Agency,US,0,1,1,Full-time,Associate,Bachelor's Degree,Public Relations and Communications,Public Relations,0,874.0,670.0,852.0,580.0
7740,BI Developer,RO,0,0,1,,,,,,0,1433.0,,542.0,317.0
7741,Accountant,US,0,1,1,Full-time,Associate,Associate Degree,Information Technology and Services,Accounting/Auditing,0,1844.0,2094.0,291.0,184.0
7742,Senior Compliance Specialist,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Human Resources,Human Resources,0,2475.0,618.0,1395.0,921.0
7743,TV Graphic Artist,US,0,1,0,,,,,,0,443.0,1260.0,608.0,
7744,Customer Service Representative,CA,0,0,1,Full-time,Entry level,High School or equivalent,Management Consulting,Customer Service,0,805.0,,296.0,
7745,CDL Driver-Niles,US,0,1,0,Full-time,,,Building Materials,,0,2197.0,706.0,1066.0,642.0
7746,Lead Technician (Desktop Support),US,0,1,1,Contract,Associate,Associate Degree,Information Technology and Services,Information Technology,0,872.0,893.0,1219.0,80.0
7747,Mid Level Banking Attorney,US,0,1,0,Full-time,Mid-Senior level,Professional,Law Practice,Legal,0,311.0,271.0,,
7748,Accountant,US,0,1,1,Full-time,Associate,Bachelor's Degree,Accounting,Accounting/Auditing,1,1143.0,743.0,460.0,
7749,RN - Operating Room (OR)  ,US,0,0,0,Full-time,,,Hospital & Health Care,,1,814.0,,,
7750,Project Manager,US,0,1,0,Full-time,Mid-Senior level,,Hospital & Health Care,Project Management,0,1805.0,621.0,1734.0,253.0
7751,Marketing Representative,US,0,1,1,Full-time,Associate,Unspecified,Financial Services,Sales,0,2004.0,1025.0,403.0,216.0
7752,Optical / Sales,US,0,0,0,Full-time,,,"Health, Wellness and Fitness",Sales,1,473.0,,300.0,172.0
7753,NE4 9BN Customer Service Apprenticeship Available Under NAS 16-18 year olds only!,GB,0,1,1,,Not Applicable,High School or equivalent,,,0,577.0,831.0,92.0,16.0
7754,Support Worker (Personal Assistant),GB,0,1,1,,,,"Health, Wellness and Fitness",,0,1095.0,697.0,1198.0,832.0
7755,Character Designer,IL,0,1,1,Full-time,,,Design,Design,0,530.0,511.0,387.0,
7756,IS TESTER (Rational Functional Tester),BE,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1359.0,726.0,1180.0,1425.0
7757,Healthcare Support Rep,US,0,1,0,Full-time,,,Hospital & Health Care,,0,929.0,323.0,501.0,60.0
7758,Security System Installer (2GIG),US,0,1,0,Contract,Associate,High School or equivalent,Security and Investigations,,0,806.0,1438.0,,
7759,.NET Developer,BE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,782.0,726.0,551.0,887.0
7760,Front-end engineer,CA,0,0,0,,,Bachelor's Degree,,Engineering,0,199.0,,970.0,55.0
7761,Solution Architect ,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Management Consulting,Business Development,0,4963.0,684.0,2694.0,
7762,Accounts Receivable Analyst,US,0,1,0,Temporary,,,Apparel & Fashion,Finance,0,752.0,,542.0,
7763,Sales Executive,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,1835.0,860.0,419.0,750.0
7764,Marketing Assistant,CA,0,1,1,Full-time,Entry level,,Marketing and Advertising,Marketing,0,1271.0,1068.0,332.0,223.0
7765,Contract SilverStripe Developer,NZ,0,1,1,,,,,,0,179.0,1981.0,,
7766,Music Editor,GB,0,1,1,Part-time,Associate,High School or equivalent,Entertainment,,0,1011.0,600.0,383.0,409.0
7767,Senior Administrative Assistant,US,0,1,1,,,,,,0,701.0,955.0,356.0,
7768,JAVA Web developer ,BE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1073.0,726.0,664.0,902.0
7769,Part-time Illustrator for Kids Tutorials,US,1,1,1,Part-time,Entry level,,Graphic Design,Education,0,883.0,218.0,215.0,450.0
7770,Marketing Intern (Paid),US,0,1,1,Full-time,Internship,Some College Coursework Completed,Internet,Marketing,0,1108.0,755.0,410.0,89.0
7771,Angular.js Frontend Engineer,DE,0,0,1,Full-time,Mid-Senior level,Master's Degree,Banking,Engineering,0,729.0,,1060.0,281.0
7772,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,456.0,53.0,118.0,19.0
7773,Consumer Lending Sales Specialist,US,0,1,1,,,,,,0,2171.0,665.0,539.0,481.0
7774,Apple Specialized Technician,US,0,1,1,Full-time,Entry level,High School or equivalent,Computer Networking,Information Technology,0,892.0,3166.0,234.0,390.0
7775,Maintenance Technician,US,0,0,0,Full-time,,,,,0,1195.0,228.0,,
7776,KYC Banking Opening Assistant,GB,0,1,0,Full-time,Associate,Bachelor's Degree,,Business Development,0,965.0,311.0,1121.0,
7777,"Video Journalist, Burmese Service ",US,0,1,0,,,,,,0,437.0,1260.0,1021.0,
7778,Rising Star (3rd Key Holder) - Oakbrook Center,US,0,1,1,Part-time,Associate,,Retail,Sales,0,1725.0,822.0,600.0,2.0
7779,Outbound Telesales Agent,GB,0,1,1,,,,,,0,808.0,986.0,615.0,192.0
7780,WF17 Personal Assistant Apprenticeship Under NAS 16-18 Year Olds Only,GB,0,1,1,Full-time,Not Applicable,High School or equivalent,Packaging and Containers,Administrative,0,632.0,831.0,70.0,17.0
7781,Cad Designer,US,0,0,0,Full-time,,,,,0,1646.0,228.0,,
7782,Sales Manager,GB,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,,Sales,0,1834.0,441.0,595.0,632.0
7783,Summer Intern,IN,0,1,0,Temporary,Internship,Bachelor's Degree,Venture Capital & Private Equity,,0,194.0,994.0,,
7784,Manufacturing Engineer - FDA GMP ISO CAD DVM - CT,US,0,0,0,Full-time,,,,,0,1474.0,228.0,2266.0,
7785,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
7786,Senior Test Engineer  ,NL,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,817.0,726.0,941.0,886.0
7787,English Teacher Abroad,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
7788,iOS Software Architect,US,0,1,1,,,,,,0,885.0,2435.0,847.0,294.0
7789,UI/UX & Graphic Designer,PL,0,1,1,Full-time,,,,Design,0,265.0,268.0,1350.0,340.0
7790,Program Manager,US,0,1,0,Full-time,Associate,Bachelor's Degree,Consumer Electronics,Management,0,3244.0,662.0,449.0,391.0
7791,TEMPLATE -  Rising Star (3rd Key Holder) - ENTER LOCATION,US,0,1,1,Part-time,Associate,,Retail,Sales,0,1724.0,822.0,600.0,2.0
7792,English or Spanish Speaking Tour Guides in Manhattan - Experience not required!,US,0,1,1,Part-time,Not Applicable,,Performing Arts,Other,0,1439.0,1058.0,,
7793,Controls Engineer,US,0,0,0,Full-time,,,,,0,1467.0,228.0,,
7794,Siebel Technical Lead || Uniondale NY or Herndon VA || 4+ Months ||,US,0,1,0,Contract,,,Information Technology and Services,,0,1417.0,,,
7795,Customer service associate,GB,0,1,1,Full-time,Entry level,,Consumer Services,Customer Service,0,1470.0,251.0,389.0,358.0
7796,Service Delivery Manager 1 ,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Consumer Services,Management,0,1965.0,684.0,1097.0,
7797,Procurement Specialist ,NZ,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Supply Chain,0,936.0,1246.0,705.0,663.0
7798,Online Marketing Internship (Russian market),RO,0,1,1,,,,,Marketing,0,981.0,322.0,351.0,330.0
7799,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,458.0,53.0,118.0,19.0
7800,GIS Technician,US,0,1,0,,,,,,0,477.0,,51.0,
7801,Senior Java Developer,BE,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,1022.0,726.0,834.0,901.0
7802,Cognos Developer,US,0,0,0,Full-time,Executive,Bachelor's Degree,Information Technology and Services,Information Technology,0,426.0,,193.0,
7803,Senior Software Engineer,US,0,1,1,,,,,,0,732.0,2435.0,958.0,294.0
7804,Account Manager - Sales,US,0,1,1,,,,Oil & Energy,Sales,0,2045.0,893.0,398.0,
7805,Ruby on Rails Expert - Disrupt the financial industry with Numbrs,CH,0,0,1,,,,,,0,877.0,,638.0,609.0
7806,"Cardiologist, Interventional Fellow, MD, Group Practice",US,0,0,1,Full-time,Executive,Doctorate,Hospital & Health Care,Health Care Provider,0,553.0,,55.0,59.0
7807,Client Services Executive,GB,0,1,0,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Business Development,0,1554.0,731.0,551.0,1308.0
7808,Data Entry Clerk,US,0,1,1,Full-time,Entry level,High School or equivalent,Legal Services,,0,1102.0,637.0,217.0,255.0
7809,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,458.0,53.0,118.0,19.0
7810,Junior Account Executive - Boston,US,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0,2173.0,618.0,1405.0,786.0
7811,Graduate Business Development Manager,GB,0,1,0,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Sales,0,1295.0,437.0,337.0,656.0
7812,Customer Service Print Team Lead ,US,0,1,0,Full-time,Associate,High School or equivalent,Consumer Services,Customer Service,0,1713.0,684.0,713.0,
7813,Graphic Design - Marketing Specialist,US,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Hardware,Marketing,0,1836.0,541.0,605.0,80.0
7814,"Account Executive - Sacramento, CA",US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2686.0,734.0,1433.0,786.0
7815,"Business Development/Sales,  Full Time with a short trial period",US,0,0,1,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Sales,0,823.0,,567.0,776.0
7816,Senior IT Auditor (REF SITAU_08),GR,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Gambling & Casinos,Accounting/Auditing,0,1750.0,,1093.0,125.0
7817,Senior iOS Application Developer,GR,0,1,0,Full-time,,,,,0,1990.0,531.0,,
7818,Administrative Assistant,US,0,0,0,Full-time,Not Applicable,Unspecified,Computer Hardware,Administrative,1,336.0,,431.0,
7819,Part Time  Substitute Teachers,,0,1,0,Part-time,,,,,0,299.0,473.0,,
7820,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,385.0,53.0,131.0,19.0
7821,Technology Training Facilitator,US,0,0,0,,,,,,0,3386.0,,,
7822,Outside Sales Professional-Neenah,US,0,1,0,,,,,,0,648.0,706.0,804.0,797.0
7823,LS20 8LZ Customer Service Apprenticeship under NAS 16-18 year olds only,GB,0,1,1,,,,,,0,341.0,831.0,90.0,16.0
7824,Case Coordinator,CA,0,1,1,Full-time,Associate,Bachelor's Degree,Insurance,Business Analyst,0,3660.0,1054.0,1318.0,
7825,National Sales Rep - Fashion Tech Accessories,US,0,1,1,Full-time,Associate,Associate Degree,Graphic Design,Design,0,2040.0,276.0,258.0,177.0
7826,Front End Developer,US,0,1,1,Full-time,Associate,Bachelor's Degree,Online Media,Engineering,0,1719.0,390.0,,
7827,Senior Developer/Asset Management,US,0,0,0,Full-time,Executive,Bachelor's Degree,Information Technology and Services,Information Technology,0,670.0,,279.0,
7828,English Teacher Abroad ,US,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,383.0,53.0,131.0,19.0
7829,Systems/Network Administrator,US,0,1,1,Full-time,Associate,Unspecified,Media Production,Information Technology,0,674.0,541.0,698.0,125.0
7830,Position Finance Assistant,AU,0,0,0,Part-time,,,Banking,Finance,1,339.0,,576.0,407.0
7831,Solution Architect-Ground Operation,US,0,1,0,Full-time,,Bachelor's Degree,Airlines/Aviation,Information Technology,0,573.0,1445.0,258.0,
7832,Customer Service Associate ,US,0,1,0,Full-time,Entry level,High School or equivalent,Government Relations,Customer Service,0,1926.0,684.0,716.0,
7833,Social Media Intern,US,0,1,1,Contract,Internship,Bachelor's Degree,Marketing and Advertising,Marketing,0,608.0,855.0,913.0,72.0
7834,Customer Service Associate - Part Time ,US,0,1,0,Part-time,Entry level,High School or equivalent,Legal Services,Administrative,0,1219.0,684.0,758.0,
7835,Software Engineer (Data Analysis),DE,0,1,1,Full-time,,,E-Learning,Engineering,0,687.0,651.0,373.0,430.0
7836,Flash  Developer Gaming,,0,1,1,,,,,,0,1459.0,438.0,,
7837,Big Data Developer(C++),IN,0,1,0,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Information Technology,0,623.0,939.0,817.0,165.0
7838,Service Delivery Manager 1 ,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Consumer Services,Management,0,1965.0,684.0,1097.0,
7839,English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,458.0,53.0,118.0,19.0
7840,Sales Manager,PT,0,1,0,Full-time,Mid-Senior level,Unspecified,Internet,Sales,0,2603.0,545.0,674.0,458.0
7841,Sr. Design Engineer Mechanical - 3D CAD,US,0,0,0,Full-time,,,,,0,870.0,228.0,,
7842,Sales Director,US,0,1,1,Full-time,Director,Bachelor's Degree,Information Technology and Services,Sales,0,1085.0,,3316.0,49.0
7843,Supply Chain Specialist,US,0,1,1,Full-time,,Bachelor's Degree,Computer Hardware,Supply Chain,0,1369.0,541.0,363.0,124.0
7844,Software Engineer - Video and Imaging,NZ,0,1,1,,,,,,0,1416.0,1325.0,1111.0,735.0
7845,Graduates: English Teacher Abroad (Conversational),US,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,324.0,53.0,160.0,19.0
7846,Client Account Executive,US,0,1,1,,,,,,0,7398.0,2435.0,983.0,337.0
7847,Talent Management Process Manager,US,0,0,0,Full-time,,,Management Consulting,,0,1707.0,228.0,,
7848,Web Developer - Back / Front,GR,0,0,1,Full-time,Entry level,Bachelor's Degree,Computer Software,Information Technology,0,446.0,,88.0,82.0
7849,Entry Level Accounting Specialist,US,0,0,0,,,,,,0,445.0,,,
7850,EROAD - Application Form,NZ,0,1,1,,,,,,0,58.0,1286.0,,
7851,Customer Service Associate - Part Time ,US,0,1,0,Full-time,Entry level,High School or equivalent,Financial Services,,0,1574.0,684.0,714.0,
7852,Web Developer,GR,0,1,0,Full-time,Mid-Senior level,,Computer Software,,0,115.0,751.0,269.0,256.0
7853,Junior Legal Counsel - Netlog,,0,1,1,,,,,,0,430.0,438.0,,
7854,Online Marketing Specialist,RO,0,1,1,,,,,Marketing,0,2157.0,322.0,565.0,270.0
7855,UX / Front-End Developer,GR,0,1,1,,,,,,0,152.0,367.0,146.0,59.0
7856,Sale Representatives,US,0,1,0,Full-time,Mid-Senior level,Unspecified,Retail,Sales,0,1249.0,106.0,186.0,195.0
7857,Account Executive,US,0,0,0,Full-time,,Bachelor's Degree,Information Technology and Services,Sales,0,582.0,,300.0,42.0
7858,Service Delivery Manager 1 ,US,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Consumer Services,Management,0,1965.0,684.0,1097.0,
7859,Hiring Technical Support Engg,IN,0,0,0,Full-time,Entry level,High School or equivalent,Information Technology and Services,Information Technology,0,272.0,,145.0,
7860,Developers,NZ,0,1,1,,,,,,0,1801.0,1715.0,462.0,750.0
7861,Web Editor,GB,0,1,0,Full-time,Mid-Senior level,,Marketing and Advertising,,0,986.0,731.0,779.0,1310.0
7862,Excel in the Personal Development Industry,GB,1,1,0,,,,,,0,928.0,119.0,,
7863,SVP Commercial Operations / COO,GB,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Strategy/Planning,0,1447.0,457.0,844.0,
7864,talented Senior Python developer,US,0,0,0,Contract,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,701.0,,221.0,
7865,Senior Ruby Developer,US,1,1,1,Full-time,Director,,Computer Software,Information Technology,0,1314.0,588.0,549.0,932.0
7866,Marketing Manager ,US,0,1,0,,,,Computer Software,Marketing,0,1599.0,242.0,342.0,
7867,Summer Intern at an Awesome Fashion Tech Design House,US,0,1,1,Part-time,Internship,,Apparel & Fashion,Administrative,0,1243.0,276.0,,35.0
